Date,price
1/9/2014 13:00,36.10858
1/9/2014 13:30,35.73176
1/9/2014 14:00,35.29786
1/9/2014 14:30,37.25235
1/9/2014 15:00,35.46728
1/9/2014 15:30,35.7952
1/9/2014 16:00,39.87958
1/9/2014 16:30,41.58556
1/9/2014 17:00,36.18567
1/9/2014 17:30,42.83309
1/9/2014 18:00,43.0144
1/9/2014 18:30,43.00639
1/9/2014 19:00,61.70435
1/9/2014 19:30,84.41161
1/9/2014 20:00,47.68626
1/9/2014 20:30,43.07961
1/9/2014 21:00,49.68652
1/9/2014 21:30,40.63909
1/9/2014 22:00,47.76867
1/9/2014 22:30,47.31304
1/9/2014 23:00,45
1/9/2014 23:30,33.22352
1/10/2014 0:00,33.22778
1/10/2014 0:30,36.31564
1/10/2014 1:00,39.28303
1/10/2014 1:30,43.88565
1/10/2014 2:00,41.77795
1/10/2014 2:30,48.3588
1/10/2014 3:00,44.21462
1/10/2014 3:30,45.57729
1/10/2014 4:00,39.44342
1/10/2014 4:30,41.60472
1/10/2014 5:00,44.70044
1/10/2014 5:30,46.26861
1/10/2014 6:00,41.43346
1/10/2014 6:30,48.37466
1/10/2014 7:00,48.69988
1/10/2014 7:30,59.26819
1/10/2014 8:00,45.98901
1/10/2014 8:30,41.50697
1/10/2014 9:00,41.08616
1/10/2014 9:30,39.81466
1/10/2014 10:00,39.94661
1/10/2014 10:30,40.74152
1/10/2014 11:00,39.67402
1/10/2014 11:30,34.60459
1/10/2014 12:00,27.05356
1/10/2014 12:30,25.5533
1/10/2014 13:00,22.17722
1/10/2014 13:30,22.19122
1/10/2014 14:00,23
1/10/2014 14:30,22.03638
1/10/2014 15:00,30.17084
1/10/2014 15:30,33.31299
1/10/2014 16:00,34.85772
1/10/2014 16:30,39.84861
1/10/2014 17:00,41.32075
1/10/2014 17:30,47.00574
1/10/2014 18:00,49.51099
1/10/2014 18:30,53.43666
1/10/2014 19:00,68.82634
1/10/2014 19:30,70.72129
1/10/2014 20:00,53.1787
1/10/2014 20:30,44.93174
1/10/2014 21:00,52.27678
1/10/2014 21:30,49.52201
1/10/2014 22:00,70.63844
1/10/2014 22:30,46.28641
1/10/2014 23:00,45.97
1/10/2014 23:30,43.78686
1/11/2014 0:00,38.76202
1/11/2014 0:30,52.43921
1/11/2014 1:00,50.14432
1/11/2014 1:30,40.51047
1/11/2014 2:00,44.41006
1/11/2014 2:30,47.73212
